100 4950
0 62 53
0 97 11
0 96 75
0 52 77
0 21 4
0 11 3
0 98 26
0 14 50
0 10 80
0 20 14
0 55 81
0 22 97
0 81 96
0 36 35
0 64 76
0 37 95
0 53 23
0 65 41
0 41 83
0 28 66
0 7 37
0 38 53
0 4 80
0 39 83
0 45 36
0 68 41
0 99 100
0 40 86
0 85 23
0 61 4
0 67 98
0 27 45
0 93 15
0 75 78
0 24 67
0 44 97
0 66 15
0 57 76
0 16 86
0 19 65
0 47 3
0 34 63
0 26 77
0 89 98
0 6 46
0 33 57
1 25 33
1 44 90
1 80 16
1 94 59
1 89 42
1 60 50
1 10 84
1 36 45
1 68 61
1 70 17
1 48 46
1 72 64
1 66 3
1 45 9
1 23 98
1 41 85
1 95 86
1 90 43
1 33 76
1 0 68
1 51 12
1 52 8
1 96 61
1 32 52
1 73 22
1 78 20
1 79 24
1 28 55
1 56 45
1 38 67
1 97 33
1 31 98
1 69 43
1 76 11
1 85 79
1 3 39
1 24 45
1 14 76
1 53 37
1 74 39
1 19 74
1 92 1
1 58 1
1 67 22
2 20 28
2 89 98
2 14 82
2 57 36
2 64 77
2 29 28
2 49 48
2 6 35
2 94 85
2 92 60
2 84 36
2 5 91
2 32 90
2 38 98
2 86 67
2 45 9
2 35 46
2 17 80
2 83 51
2 77 42
2 12 21
2 93 86
2 23 63
2 1 11
2 59 51
2 16 8
2 10 12
2 78 13
2 55 86
2 79 27
2 39 81
2 82 28
2 31 64
2 11 79
2 22 68
2 54 36
2 3 88
2 41 92
2 98 30
2 4 1
2 44 45
2 68 11
2 33 7
2 72 56
2 50 8
2 51 20
2 36 42
2 95 35
2 62 46
2 0 78
2 97 27
2 7 72
3 69 76
3 94 51
3 18 90
3 20 3
3 77 30
3 2 89
3 30 50
3 28 26
3 49 2
3 54 55
3 83 24
3 62 96
3 41 5
3 68 71
3 96 63
3 86 20
3 47 76
3 10 35
3 46 95
3 23 90
3 70 26
3 66 22
3 87 14
3 42 29
3 39 57
3 24 30
3 85 82
3 34 100
3 93 65
3 44 11
3 6 28
3 14 62
3 33 39
3 99 31
3 95 89
3 53 83
3 78 7
3 80 98
3 26 35
3 38 23
3 76 40
3 36 34
3 72 54
3 67 6
3 81 20
3 48 35
3 59 89
3 19 46
3 4 29
3 71 98
3 97 11
3 58 26
4 38 13
4 43 82
4 74 20
4 22 25
4 79 96
4 12 61
4 93 95
4 91 92
4 73 19
4 47 78
4 16 7
4 97 72
4 44 29
4 89 41
4 61 82
4 70 40
4 33 49
4 83 74
4 49 99
4 95 26
4 3 6
4 84 65
4 42 94
4 60 47
4 34 82
4 52 18
4 27 31
4 67 29
4 48 73
4 32 31
4 9 45
4 29 33
4 86 46
4 26 13
4 45 66
4 88 76
4 0 69
4 11 67
4 1 30
4 81 27
4 46 1
4 63 89
4 36 5
4 96 30
4 64 67
4 75 96
4 71 11
4 31 2
4 58 1
4 85 79
4 21 34
5 88 94
5 68 20
5 60 52
5 16 23
5 26 56
5 29 69
5 84 99
5 33 91
5 59 30
5 46 80
5 91 29
5 18 3
5 75 5
5 51 74
5 43 31
5 48 17
5 71 41
5 81 31
5 66 31
5 7 88
5 13 6
5 94 79
5 17 13
5 37 47
5 40 27
5 10 6
5 31 9
5 62 23
5 6 26
5 4 61
5 3 66
5 27 49
5 42 85
5 45 87
5 14 99
5 52 15
5 47 45
5 99 24
5 53 29
5 95 81
5 56 9
5 64 96
5 23 27
5 25 87
5 61 13
5 82 69
5 20 50
5 79 97
5 76 70
5 22 14
6 15 80
6 10 39
6 51 25
6 65 14
6 0 82
6 73 28
6 70 78
6 56 57
6 74 57
6 85 33
6 90 100
6 47 66
6 87 4
6 89 79
6 16 81
6 67 45
6 62 93
6 94 59
6 75 47
6 2 7
6 46 12
6 43 41
6 30 51
6 25 75
6 24 58
6 76 79
6 35 74
6 9 27
6 26 89
6 12 63
6 4 57
6 27 20
6 31 5
6 52 39
6 28 13
6 79 64
6 77 92
6 58 6
6 38 15
6 20 23
6 97 27
6 19 64
6 59 23
6 5 4
6 39 37
6 44 27
6 11 38
6 88 99
7 90 27
7 99 19
7 65 23
7 85 74
7 59 90
7 11 28
7 41 58
7 6 45
7 20 59
7 52 59
7 79 55
7 96 6
7 21 44
7 33 3
7 71 43
7 36 17
7 48 21
7 3 76
7 24 12
7 8 98
7 86 46
7 17 34
7 58 23
7 88 12
7 37 30
7 92 27
7 10 26
7 91 63
7 28 11
7 39 28
7 12 50
7 81 37
7 51 50
7 23 53
7 47 27
7 50 47
7 70 100
7 31 75
7 49 8
7 18 43
7 19 42
7 87 66
7 68 82
8 78 57
8 92 80
8 42 2
8 67 91
8 74 43
8 55 3
8 33 99
8 79 9
8 1 36
8 76 94
8 35 83
8 14 10
8 57 95
8 21 88
8 37 28
8 84 90
8 80 71
8 24 34
8 22 64
8 72 66
8 36 89
8 81 14
8 49 60
8 12 92
8 39 94
8 20 38
8 17 89
8 7 98
8 97 60
8 58 79
8 77 27
8 90 5
8 94 45
8 69 3
8 45 8
8 40 46
8 28 86
8 43 57
8 25 31
8 54 12
8 66 54
8 34 33
8 41 64
8 70 72
8 47 36
8 96 84
8 60 92
8 31 10
8 95 72
8 10 96
8 16 76
8 86 83
8 56 18
8 64 65
8 50 76
8 71 39
8 27 66
8 99 5
8 65 100
8 68 12
8 89 21
9 80 38
9 19 11
9 44 35
9 85 75
9 56 13
9 52 15
9 18 58
9 67 9
9 23 90
9 78 37
9 71 10
9 76 46
9 61 48
9 32 81
9 57 79
9 95 84
9 41 17
9 27 23
9 74 8
9 83 31
9 17 4
9 7 97
9 10 17
9 49 59
9 1 48
9 28 50
9 87 70
9 38 59
9 89 35
9 97 96
9 14 25
9 86 31
9 81 55
9 93 49
9 5 69
9 8 86
9 11 19
9 2 43
9 15 78
9 90 97
9 31 96
9 46 87
9 64 74
9 60 78
9 53 73
9 68 63
9 24 65
9 30 33
9 73 63
9 25 19
9 22 46
9 6 53
9 37 42
9 35 9
9 0 57
9 3 12
9 55 86
9 13 49
10 55 79
10 69 32
10 0 39
10 25 27
10 65 25
10 38 73
10 70 90
10 13 14
10 22 64
10 66 43
10 91 80
10 3 80
10 33 68
10 60 95
10 19 36
10 95 50
10 79 56
10 80 25
10 86 13
10 96 89
10 7 31
10 49 98
10 48 66
10 63 10
10 75 82
10 59 1
10 74 40
10 68 89
10 42 35
10 28 10
10 87 12
10 20 5
10 57 47
10 21 81
10 67 60
10 76 19
10 15 41
10 64 29
10 78 47
10 6 59
10 82 99
10 97 41
10 11 9
11 35 89
11 32 26
11 94 6
11 27 71
11 6 22
11 77 29
11 7 97
11 45 6
11 85 2
11 90 96
11 23 23
11 50 70
11 15 97
11 58 57
11 52 83
11 20 1
11 29 1
11 86 77
11 42 72
11 38 70
11 3 28
11 88 72
11 99 94
11 73 3
11 53 76
11 47 4
11 70 20
11 63 56
11 98 80
11 21 93
11 56 54
11 12 85
11 95 16
11 67 96
11 97 71
11 37 47
11 81 11
11 34 98
11 59 10
11 33 98
11 13 6
11 14 70
11 87 76
11 71 47
11 91 29
11 89 80
11 0 7
12 60 99
12 66 8
12 19 83
12 76 9
12 52 74
12 45 90
12 41 57
12 25 37
12 99 83
12 98 58
12 77 29
12 73 28
12 2 87
12 58 72
12 70 69
12 93 12
12 40 69
12 46 68
12 1 8
12 74 62
12 20 11
12 24 93
12 26 69
12 8 100
12 69 94
12 39 18
12 22 48
12 97 76
12 92 2
12 27 17
12 90 35
12 61 79
12 28 36
12 13 82
12 49 14
12 67 81
12 95 23
12 31 58
12 21 49
12 5 92
12 14 92
12 42 86
12 38 59
12 82 85
13 73 9
13 72 33
13 71 26
13 44 45
13 45 41
13 53 97
13 9 78
13 18 93
13 84 51
13 30 3
13 47 33
13 68 47
13 95 83
13 23 22
13 3 47
13 48 70
13 99 99
13 0 38
13 27 12
13 82 7
13 65 98
13 90 55
13 16 68
13 14 82
13 91 33
13 10 64
13 42 26
13 60 30
13 22 68
13 75 12
13 15 3
13 31 13
13 81 18
13 78 72
13 36 43
13 56 61
13 94 98
13 17 61
