500 1500
0 1 54
0 2 19
0 4 14
0 6 37
0 12 23
0 222 2
0 371 5
0 60 4
1 42 23
1 52 31
1 61 50
1 69 61
1 72 29
1 164 81
1 318 98
2 3 76
2 14 80
2 45 59
2 68 100
2 242 18
2 330 68
2 411 43
2 293 77
2 160 32
2 363 96
3 36 66
3 44 32
3 46 47
3 62 21
3 458 81
3 485 83
3 192 84
3 153 29
3 58 88
4 5 100
4 9 50
4 13 52
4 105 75
4 163 87
4 352 63
4 119 12
5 8 53
5 60 37
5 182 76
5 192 7
5 344 2
6 7 69
6 390 96
6 147 58
7 10 74
7 18 7
7 25 18
7 51 88
7 85 36
7 175 89
7 379 15
8 29 94
8 40 100
8 89 44
9 11 61
9 15 88
9 22 36
9 26 96
9 158 69
9 186 49
9 295 14
9 192 75
9 149 84
9 106 74
10 21 39
10 37 9
10 58 34
10 218 71
11 20 3
11 55 61
11 171 39
11 95 14
11 395 89
11 295 98
12 16 5
12 17 43
12 32 57
12 43 26
12 118 61
12 189 77
12 190 85
12 367 49
12 394 40
12 91 59
13 30 78
13 33 53
13 82 1
13 88 62
13 133 82
13 139 20
13 390 79
13 146 63
14 27 100
14 148 1
14 264 88
14 17 85
15 19 35
15 23 90
15 499 61
16 70 83
16 119 95
16 257 45
16 209 98
17 48 48
17 12 80
18 134 61
18 297 72
18 184 31
18 74 5
19 38 91
19 95 67
19 228 93
19 374 74
19 290 62
20 31 12
20 145 63
20 456 74
20 285 50
21 24 13
21 163 70
22 57 45
22 71 77
22 153 17
22 452 38
22 427 17
22 473 30
22 130 22
22 393 22
23 53 63
23 117 38
23 248 48
23 268 9
23 489 90
24 240 98
24 331 71
24 386 49
25 50 82
25 234 23
25 94 19
25 55 54
26 28 42
26 66 35
26 207 66
26 214 40
26 336 38
27 64 29
27 78 60
27 191 84
27 279 2
27 474 23
27 269 55
27 156 68
28 65 87
28 126 46
28 127 96
28 224 74
28 471 99
28 334 45
29 49 65
29 210 14
29 484 100
29 421 79
30 96 8
30 132 61
30 136 88
30 209 37
30 258 21
30 145 26
31 34 98
31 184 47
31 189 71
31 322 61
32 39 52
32 73 78
32 487 97
33 35 48
33 41 73
33 92 84
33 120 93
33 167 14
33 181 28
33 459 27
33 149 61
33 496 20
33 243 15
33 174 27
34 176 44
34 195 82
34 198 85
34 285 69
35 75 55
35 90 82
35 140 26
35 206 54
35 306 14
36 278 61
36 6 27
36 331 3
37 56 71
37 102 34
37 421 91
38 54 58
38 79 87
38 87 88
38 94 25
38 226 12
38 403 24
39 74 92
39 198 27
39 372 10
39 263 83
39 483 28
39 370 42
39 378 92
39 350 82
39 435 36
40 152 63
40 82 44
40 352 100
40 72 94
41 91 36
41 431 97
42 170 9
42 455 13
42 243 74
42 64 65
43 108 93
43 151 74
43 244 43
43 335 50
43 70 83
44 473 10
44 495 37
44 141 100
44 218 51
44 438 78
45 47 26
45 147 41
45 32 34
45 57 86
45 95 26
45 298 2
46 144 100
46 250 15
46 299 78
46 351 80
46 128 42
47 59 89
47 84 72
47 246 85
47 29 77
48 76 45
48 178 22
48 275 56
48 19 59
49 104 95
49 135 65
49 309 98
49 420 57
50 81 75
51 159 94
51 215 46
51 371 30
52 67 66
52 378 79
52 48 9
52 266 99
52 207 92
53 103 52
53 150 98
53 259 54
53 350 58
54 63 74
54 314 6
54 492 38
54 286 10
54 67 24
54 196 7
